iter	Passed	Remaining
0	10	10940
1	26	13472
2	39	13241
3	51	12917
4	63	12579
5	75	12538
6	85	12067
7	95	11877
8	107	11874
9	121	12013
10	132	11935
11	141	11650
12	154	11763
13	162	11415
14	175	11547
15	190	11720
16	202	11686
17	211	11548
18	225	11651
19	238	11705
20	248	11582
21	259	11537
22	273	11636
23	283	11516
24	292	11417
25	304	11425
26	319	11502
27	327	11370
28	339	11363
29	354	11459
30	364	11393
31	374	11318
32	387	11357
33	399	11360
34	408	11261
35	420	11268
36	436	11350
37	450	11398
38	461	11370
39	472	11333
40	485	11354
41	496	11336
42	504	11238
43	519	11296
44	535	11356
45	550	11413
46	560	11359
47	571	11325
48	583	11319
49	593	11282
50	602	11217
51	614	11206
52	627	11204
53	637	11171
54	648	11147
55	662	11161
56	670	11099
57	682	11087
58	696	11103
59	707	11083
60	723	11132
61	732	11075
62	745	11082
63	757	11073
64	766	11026
65	779	11026
66	816	11367
67	1077	14763
68	1254	16920
69	1447	19226
70	1537	20120
71	1631	21033
72	1768	22456
73	1783	22316
74	1798	22177
75	1812	22034
76	1829	21933
77	1837	21722
78	1849	21556
79	1867	21479
80	1882	21357
81	1898	21257
82	1913	21143
83	1923	20978
84	1937	20860
85	1949	20716
86	1958	20555
87	1972	20441
88	1985	20320
89	1995	20181
90	2005	20029
91	2015	19896
92	2034	19838
93	2045	19711
94	2057	19600
95	2070	19497
96	2081	19378
97	2091	19253
98	2104	19155
99	2118	19068
100	2134	18998
101	2143	18873
102	2153	18757
103	2164	18649
104	2173	18529
105	2187	18451
106	2201	18373
107	2211	18263
108	2228	18215
109	2238	18111
110	2249	18019
111	2265	17958
112	2274	17850
113	2282	17737
114	2288	17611
115	2298	17517
116	2311	17443
117	2323	17364
118	2331	17263
119	2354	17263
120	2364	17174
121	2374	17091
122	2386	17019
123	2398	16943
124	2409	16864
125	2420	16787
126	2434	16734
127	2446	16663
128	2462	16627
129	2473	16554
130	2488	16504
131	2496	16414
132	2510	16366
133	2523	16309
134	2533	16231
135	2545	16173
136	2558	16114
137	2567	16034
138	2577	15968
139	2587	15896
140	2601	15851
141	2613	15791
142	2628	15753
143	2648	15741
144	2661	15693
145	2679	15672
146	2693	15629
147	2708	15593
148	2720	15535
149	2733	15487
150	2743	15426
151	2761	15407
152	2774	15356
153	2788	15316
154	2802	15276
155	2816	15237
156	2835	15223
157	2847	15176
158	2860	15129
159	2879	15115
160	2890	15062
161	2902	15014
162	2915	14969
163	2928	14926
164	2940	14880
165	2956	14855
166	2970	14815
167	2982	14772
168	3003	14768
169	3018	14735
170	3029	14688
171	3044	14654
172	3054	14603
173	3068	14567
174	3081	14525
175	3093	14482
176	3104	14434
177	3117	14395
178	3130	14358
179	3141	14311
180	3149	14252
181	3162	14214
182	3173	14167
183	3182	14115
184	3195	14077
185	3207	14035
186	3216	13984
187	3229	13948
188	3243	13916
189	3253	13868
190	3265	13829
191	3280	13805
192	3292	13766
193	3303	13724
194	3313	13676
195	3327	13648
196	3337	13605
197	3346	13554
198	3362	13534
199	3373	13495
200	3386	13462
201	3395	13413
202	3409	13384
203	3418	13340
204	3428	13295
205	3443	13271
206	3460	13258
207	3475	13233
208	3491	13212
209	3502	13175
210	3513	13137
211	3528	13116
212	3542	13087
213	3553	13050
214	3564	13014
215	3575	12977
216	3589	12951
217	3636	13043
218	3645	12999
219	3656	12965
220	3669	12935
221	3679	12893
222	3689	12855
223	3699	12816
224	3709	12778
225	3720	12742
226	3734	12716
227	3745	12683
228	3811	12831
229	3907	13081
230	4003	13328
231	4176	13825
232	4273	14067
233	4407	14427
234	4484	14597
235	4593	14869
236	4699	15130
237	4762	15247
238	4780	15222
239	4799	15198
240	4819	15179
241	4842	15166
242	4855	15125
243	4862	15066
244	4875	15023
245	4891	14991
246	4906	14956
247	4919	14918
248	4934	14883
249	4949	14847
250	4959	14799
251	4974	14765
252	4987	14725
253	4996	14675
254	5016	14655
255	5026	14609
256	5039	14570
257	5052	14530
258	5061	14481
259	5072	14437
260	5090	14412
261	5103	14375
262	5115	14335
263	5122	14280
264	5136	14247
265	5145	14199
266	5154	14151
267	5168	14116
268	5180	14077
269	5191	14035
270	5199	13988
271	5215	13959
272	5228	13924
273	5236	13874
274	5250	13841
275	5262	13805
276	5274	13767
277	5283	13721
278	5297	13689
279	5311	13657
280	5322	13619
281	5338	13592
282	5350	13557
283	5362	13520
284	5378	13494
285	5393	13464
286	5405	13430
287	5418	13394
288	5429	13356
289	5443	13327
290	5459	13302
291	5470	13263
292	5479	13222
293	5493	13192
294	5506	13160
295	5519	13127
296	5527	13083
297	5541	13053
298	5552	13017
299	5560	12975
300	5572	12940
301	5588	12917
302	5598	12878
303	5614	12854
304	5630	12830
305	5641	12794
306	5656	12767
307	5672	12743
308	5685	12714
309	5692	12669
310	5706	12642
311	5720	12615
312	5735	12589
313	5744	12550
314	5755	12516
315	5767	12484
316	5775	12443
317	5788	12414
318	5799	12380
319	5807	12341
320	5822	12316
321	5836	12289
322	5849	12260
323	5857	12221
324	5869	12190
325	5883	12164
326	5894	12132
327	5909	12107
328	5919	12072
329	5932	12044
330	5944	12014
331	5954	11981
332	5968	11954
333	5991	11946
334	6008	11927
335	6030	11917
336	6049	11900
337	6067	11884
338	6079	11854
339	6093	11828
340	6102	11792
341	6114	11764
342	6128	11739
343	6140	11710
344	6155	11686
345	6163	11649
346	6174	11619
347	6182	11582
348	6195	11556
349	6208	11530
350	6223	11507
351	6234	11476
352	6244	11445
353	6257	11419
354	6267	11387
355	6280	11360
356	6293	11334
357	6310	11316
358	6325	11294
359	6336	11264
360	6343	11228
361	6354	11198
362	6364	11168
363	6373	11136
364	6390	11117
365	6400	11087
366	6410	11056
367	6422	11029
368	6438	11009
369	6455	10991
370	6469	10967
371	6485	10949
372	6495	10918
373	6505	10888
374	6521	10868
375	6538	10850
376	6553	10830
377	6568	10808
378	6580	10782
379	6589	10750
380	6604	10729
381	6618	10708
382	6635	10689
383	6649	10666
384	6658	10637
385	6688	10638
386	6705	10621
387	6719	10598
388	6747	10597
389	6878	10757
390	6966	10851
391	7066	10960
392	7209	11134
393	7520	11567
394	7663	11737
395	7674	11705
396	7696	11690
397	7709	11661
398	7732	11647
399	7748	11623
400	7762	11594
401	7776	11567
402	7786	11534
403	7796	11501
404	7811	11476
405	7829	11455
406	7844	11429
407	7857	11401
408	7871	11374
409	7890	11354
410	7908	11333
411	7925	11310
412	7937	11281
413	7954	11258
414	7972	11238
415	7988	11214
416	8001	11187
417	8016	11161
418	8028	11132
419	8042	11105
420	8057	11081
421	8071	11055
422	8085	11028
423	8098	11001
424	8108	10970
425	8120	10942
426	8135	10917
427	8146	10888
428	8158	10858
429	8171	10832
430	8184	10805
431	8197	10777
432	8207	10747
433	8221	10722
434	8233	10694
435	8244	10665
436	8256	10636
437	8269	10610
438	8279	10580
439	8290	10552
440	8308	10532
441	8324	10509
442	8336	10481
443	8348	10454
444	8360	10427
445	8372	10400
446	8388	10377
447	8402	10352
448	8413	10325
449	8423	10295
450	8437	10270
451	8450	10245
452	8464	10221
453	8479	10197
454	8490	10170
455	8501	10142
456	8512	10114
457	8525	10089
458	8538	10063
459	8553	10041
460	8568	10018
461	8580	9992
462	8594	9967
463	8608	9944
464	8617	9914
465	8632	9892
466	8643	9865
467	8655	9838
468	8667	9813
469	8682	9790
470	8693	9763
471	8705	9738
472	8716	9711
473	8726	9683
474	8737	9657
475	8747	9629
476	8759	9604
477	8770	9577
478	8782	9552
479	8797	9530
480	8808	9504
481	8821	9480
482	8830	9452
483	8843	9428
484	8856	9404
485	8867	9378
486	8879	9353
487	8892	9329
488	8901	9302
489	8911	9275
490	8925	9252
491	8937	9228
492	8949	9204
493	8959	9177
494	8970	9152
495	8983	9128
496	8997	9106
497	9007	9080
498	9019	9055
499	9035	9035
500	9050	9014
501	9063	8991
502	9074	8966
503	9090	8945
504	9100	8920
505	9115	8899
506	9127	8875
507	9137	8849
508	9148	8824
509	9164	8804
510	9176	8781
511	9186	8755
512	9199	8733
513	9213	8711
514	9223	8686
515	9234	8661
516	9247	8639
517	9258	8614
518	9272	8593
519	9283	8569
520	9296	8546
521	9307	8523
522	9322	8502
523	9332	8477
524	9344	8454
525	9357	8432
526	9371	8411
527	9381	8386
528	9392	8362
529	9404	8339
530	9416	8317
531	9427	8293
532	9442	8273
533	9457	8252
534	9468	8229
535	9478	8205
536	9492	8184
537	9503	8161
538	9518	8141
539	9530	8118
540	9543	8097
541	9555	8074
542	9708	8170
543	9925	8320
544	10155	8478
545	10421	8665
546	10535	8725
547	10570	8718
548	10592	8701
549	10605	8677
550	10618	8652
551	10627	8625
552	10638	8599
553	10651	8575
554	10662	8549
555	10672	8523
556	10686	8499
557	10699	8475
558	10712	8450
559	10720	8423
560	10734	8400
561	10747	8375
562	10755	8348
563	10765	8322
564	10780	8299
565	10799	8280
566	10814	8258
567	10825	8233
568	10834	8206
569	10848	8184
570	10860	8159
571	10871	8134
572	10882	8109
573	10898	8088
574	10910	8064
575	10926	8043
576	10936	8017
577	10948	7993
578	10961	7969
579	10976	7948
580	10987	7923
581	10997	7898
582	11012	7877
583	11024	7853
584	11035	7828
585	11046	7803
586	11059	7780
587	11070	7756
588	11081	7732
589	11095	7710
590	11107	7686
591	11117	7662
592	11128	7637
593	11143	7616
594	11152	7591
595	11163	7567
596	11175	7543
597	11188	7521
598	11198	7496
599	11206	7471
600	11217	7447
601	11225	7421
602	11237	7398
603	11245	7372
604	11254	7348
605	11266	7324
606	11275	7299
607	11290	7279
608	11306	7259
609	11319	7236
610	11327	7211
611	11342	7191
612	11356	7169
613	11366	7145
614	11377	7122
615	11391	7101
616	11401	7077
617	11412	7054
618	11424	7031
619	11436	7009
620	11449	6987
621	11458	6963
622	11472	6942
623	11489	6923
624	11499	6899
625	11509	6876
626	11522	6854
627	11534	6832
628	11542	6807
629	11568	6794
630	11586	6775
631	11601	6755
632	11612	6732
633	11621	6709
634	11637	6689
635	11651	6668
636	11667	6648
637	11682	6628
638	11691	6604
639	11706	6584
640	11719	6563
641	11733	6542
642	11747	6522
643	11761	6501
644	11770	6478
645	11782	6456
646	11791	6433
647	11800	6410
648	11812	6388
649	11824	6367
650	11834	6344
651	11850	6325
652	11864	6304
653	11875	6282
654	11890	6262
655	11901	6240
656	11916	6221
657	11925	6198
658	11935	6176
659	11949	6155
660	11961	6134
661	11972	6112
662	11982	6090
663	11994	6069
664	12006	6048
665	12016	6026
666	12031	6006
667	12044	5986
668	12057	5965
669	12068	5944
670	12085	5925
671	12097	5904
672	12111	5884
673	12126	5865
674	12144	5847
675	12154	5825
676	12164	5803
677	12178	5783
678	12190	5763
679	12197	5740
680	12211	5720
681	12221	5698
682	12230	5676
683	12247	5658
684	12261	5638
685	12273	5618
686	12282	5595
687	12296	5576
688	12309	5556
689	12320	5535
690	12335	5516
691	12345	5494
692	12358	5474
693	12371	5454
694	12384	5435
695	12394	5413
696	12409	5394
697	12423	5375
698	12436	5355
699	12444	5333
700	12462	5315
701	12475	5295
702	12489	5276
703	12505	5257
704	12514	5236
705	12525	5216
706	12622	5231
707	12894	5318
708	13278	5449
709	13510	5518
710	13544	5505
711	13594	5498
712	13610	5478
713	13661	5472
714	13727	5471
715	13772	5462
716	13791	5443
717	13818	5427
718	13835	5407
719	13843	5383
720	13855	5361
721	13870	5340
722	13881	5318
723	13891	5295
724	13905	5274
725	13920	5253
726	13929	5230
727	13940	5208
728	13955	5187
729	13969	5166
730	13984	5146
731	13995	5123
732	14004	5101
733	14018	5080
734	14037	5061
735	14051	5040
736	14064	5019
737	14072	4996
738	14087	4975
739	14100	4954
740	14117	4934
741	14132	4913
742	14144	4892
743	14155	4870
744	14168	4849
745	14180	4828
746	14189	4805
747	14203	4785
748	14216	4764
749	14231	4743
750	14241	4721
751	14251	4700
752	14265	4679
753	14279	4658
754	14289	4637
755	14302	4616
756	14317	4595
757	14327	4574
758	14341	4553
759	14350	4531
760	14366	4512
761	14378	4491
762	14390	4469
763	14406	4450
764	14424	4431
765	14440	4411
766	14455	4391
767	14469	4370
768	14483	4350
769	14498	4330
770	14526	4314
771	14551	4297
772	14577	4280
773	14602	4263
774	14629	4247
775	14660	4231
776	14702	4219
777	14732	4203
778	14758	4187
779	14774	4167
780	14787	4146
781	14797	4125
782	14813	4105
783	14825	4084
784	14835	4063
785	14844	4041
786	14859	4021
787	14872	4001
788	14881	3979
789	14895	3959
790	14907	3938
791	14920	3918
792	14930	3897
793	14942	3876
794	14953	3856
795	14969	3836
796	14981	3815
797	14990	3794
798	15001	3773
799	15017	3754
800	15028	3733
801	15041	3713
802	15057	3693
803	15069	3673
804	15082	3653
805	15097	3633
806	15107	3613
807	15120	3592
808	15135	3573
809	15148	3553
810	15158	3532
811	15168	3511
812	15182	3492
813	15194	3472
814	15208	3452
815	15220	3432
816	15231	3411
817	15243	3391
818	15257	3371
819	15267	3351
820	15280	3331
821	15299	3313
822	15312	3293
823	15322	3272
824	15334	3252
825	15347	3232
826	15356	3212
827	15368	3192
828	15378	3172
829	15392	3152
830	15406	3133
831	15418	3113
832	15430	3093
833	15444	3074
834	15460	3055
835	15479	3036
836	15537	3025
837	15687	3032
838	15825	3036
839	16017	3051
840	16169	3057
841	16273	3053
842	16384	3051
843	16457	3041
844	16492	3025
845	16521	3007
846	16549	2989
847	16561	2968
848	16578	2948
849	16596	2928
850	16611	2908
851	16629	2888
852	16645	2868
853	16662	2848
854	16679	2828
855	16694	2808
856	16712	2788
857	16728	2768
858	16744	2748
859	16763	2728
860	16779	2708
861	16805	2690
862	16816	2669
863	16829	2649
864	16841	2628
865	16861	2609
866	16878	2589
867	16892	2568
868	16907	2548
869	16921	2528
870	16932	2507
871	16943	2487
872	16958	2467
873	16971	2446
874	16982	2426
875	16993	2405
876	17008	2385
877	17024	2365
878	17033	2344
879	17045	2324
880	17057	2304
881	17068	2283
882	17077	2262
883	17091	2242
884	17103	2222
885	17114	2202
886	17129	2182
887	17142	2162
888	17155	2142
889	17170	2122
890	17183	2102
891	17193	2081
892	17204	2061
893	17217	2041
894	17228	2021
895	17239	2001
896	17252	1981
897	17266	1961
898	17277	1941
899	17288	1920
900	17297	1900
901	17307	1880
902	17317	1860
903	17333	1840
904	17349	1821
905	17361	1801
906	17376	1781
907	17386	1761
908	17399	1741
909	17414	1722
910	17424	1702
911	17436	1682
912	17451	1662
913	17463	1643
914	17474	1623
915	17487	1603
916	17503	1584
917	17521	1565
918	17535	1545
919	17547	1525
920	17556	1505
921	17568	1486
922	17585	1467
923	17598	1447
924	17608	1427
925	17620	1408
926	17631	1388
927	17642	1368
928	17650	1348
929	17665	1329
930	17677	1310
931	17687	1290
932	17698	1270
933	17713	1251
934	17725	1232
935	17735	1212
936	17751	1193
937	17763	1174
938	17776	1154
939	17787	1135
940	17799	1116
941	17811	1096
942	17827	1077
943	17837	1058
944	17847	1038
945	17862	1019
946	17872	1000
947	17883	980
948	17895	961
949	17908	942
950	17921	923
951	17930	904
952	17943	884
953	17956	865
954	17968	846
955	17978	827
956	17991	808
957	18002	789
958	18015	770
959	18028	751
960	18041	732
961	18051	713
962	18061	693
963	18075	675
964	18087	656
965	18099	637
966	18110	618
967	18122	599
968	18132	580
969	18142	561
970	18153	542
971	18168	523
972	18177	504
973	18193	485
974	18206	466
975	18218	447
976	18229	429
977	18242	410
978	18255	391
979	18271	372
980	18283	354
981	18294	335
982	18307	316
983	18320	297
984	18336	279
985	18349	260
986	18362	241
987	18374	223
988	18387	204
989	18397	185
990	18410	167
991	18423	148
992	18437	129
993	18447	111
994	18456	92
995	18469	74
996	18697	56
997	18866	37
998	18999	19
999	19183	0
